ClassFeature	Model	R2	RMS
C0_Basal_L	poly1	0.00988982979913622	0.0245473193641608
C0_Basal_L	poly2	0.211474909250511	0.0222941056011961
C0_Basal_L	poly3	0.213058656960137	0.0226803947987628
C0_Basal_L	exp1	0.0100402839428663	0.0245454542251383
C0_Basal_L	exp2	0.212435541402643	0.022689372412204
C0_Basal_R	poly1	0.727833148233764	0.0221998941334905
C0_Basal_R	poly2	0.800551266245171	0.0203163134048024
C0_Basal_R	poly3	0.828553157000731	0.0203454548289495
C0_Basal_R	exp1	0.733752413664871	0.0219571580621169
C0_Basal_R	exp2	0.81931372416293	0.0208864793124044
C2_Basal_L	poly1	8.79849590116333e-05	0.0242307314366626
C2_Basal_L	poly2	0.0305051235685128	0.024297160546313
C2_Basal_L	poly3	0.13429716679044	0.0233971194201772
C2_Basal_L	exp1	8.8547174963427e-05	0.0242307246246104
C2_Basal_L	exp2	0.0853141244012952	0.0240499378679429
C2_Basal_R	poly1	0.359291400016031	0.0244715519271017
C2_Basal_R	poly2	0.360467828928452	0.0253071969652995
C2_Basal_R	poly3	0.412424619767425	0.0251731163986911
C2_Basal_R	exp1	0.358819355921699	0.0244805650140737
C2_Basal_R	exp2	0.381011068822214	0.0258372703980436
C2_PeakProm_L	poly1	0.439452827563436	0.15473119164649
C2_PeakProm_L	poly2	0.445863158263223	0.157464258614564
C2_PeakProm_L	poly3	0.533831568415395	0.147992449958089
C2_PeakProm_L	exp1	0.419906389569547	0.157405835192356
C2_PeakProm_L	exp2	0.494559212872527	0.154100224759172
C2_PeakProm_R	poly1	0.834487948565648	0.0751024884341289
C2_PeakProm_R	poly2	0.841864272993664	0.0764074259484773
C2_PeakProm_R	poly3	0.84222437374354	0.0797140374285864
C2_PeakProm_R	exp1	0.802888217579663	0.0819588411082055
C2_PeakProm_R	exp2	0.841711137795539	0.0798435849807014
C2_PeakTime_R	poly1	0.752849127881645	2.79735175538903
C2_PeakTime_R	poly2	0.76724188478932	2.82552709272559
C2_PeakTime_R	poly3	0.812826711410054	2.64644745724634
C2_Plateau_L	poly1	0.54977269477846	0.204212702221631
C2_Plateau_L	poly2	0.873887936852607	0.120837062371402
C2_Plateau_R	poly1	0.947432518091052	0.0860314733344145
C2_Plateau_R	poly2	0.995587730009144	0.0305263896059687
