ClassFeature	Model	R2	RMS
C0_Basal_L	poly1	0.0105281650191931	0.0289159395561863
C0_Basal_L	poly2	0.151052665381538	0.0270453463975801
C0_Basal_L	poly3	0.152412680915332	0.0272925732668173
C0_Basal_L	exp1	0.0106552106918884	0.0289140831299638
C0_Basal_L	exp2	0.151983767964931	0.027299477958105
C0_Basal_R	poly1	0.158084922713285	0.0698169823564142
C0_Basal_R	poly2	0.192138930604094	0.0696932116330189
C0_Basal_R	poly3	0.192246044901126	0.0710686972485789
C0_Basal_R	exp1	0.156114751320595	0.069898624227327
C0_Basal_R	exp2	0.191502874905464	0.0711013829323661
C2_Basal_L	poly1	0.00071054888382327	0.0204864535580614
C2_Basal_L	poly2	0.00127327311692726	0.0212538107831063
C2_Basal_L	poly3	0.0186977266601797	0.0219278438239019
C2_Basal_L	exp1	0.000710310240681244	0.0204864560042753
C2_Basal_L	exp2	0.0114014478272149	0.0220092129244346
C2_Basal_R	poly1	0.398041882139681	0.0568239260376645
C2_Basal_R	poly2	0.772738290060699	0.0357771616418535
C2_Basal_R	poly3	0.88535086788176	0.0260715187658861
C2_Basal_R	exp1	0.420459878981055	0.0557557743965317
C2_Basal_R	exp2	0.876867255034576	0.0270189038645117
C2_PeakProm_L	poly1	0.387709313040601	0.0780402605672577
C2_PeakProm_L	poly2	0.397465138229335	0.0811946317153179
C2_PeakProm_L	poly3	0.406549475468088	0.0849390170337663
C2_PeakProm_L	exp1	0.399906997205238	0.0772590147185517
C2_PeakProm_L	exp2	0.400384106367138	0.0853790935504344
C2_PeakProm_R	poly1	0.403983075347616	0.0880523420841891
C2_PeakProm_R	poly2	0.458412211953046	0.0866882846475922
C2_PeakProm_R	poly3	0.512394136907627	0.0851416473964118
C2_PeakProm_R	exp1	0.444257091435071	0.0850253798613324
C2_PeakProm_R	exp2	0.486308153408245	0.0873894338533035
C2_PeakTime_R	poly1	0.0546566697431612	13.7545204921019
C2_PeakTime_R	poly2	0.0912188488356818	13.9281902294786
C2_PeakTime_R	poly3	0.618771873711656	9.33768272100921
C2_Plateau_L	poly1	0.00740891837518365	0.0448264409225847
C2_Plateau_L	poly2	0.0116973212688973	0.0547822278652865
C2_Plateau_R	poly1	0.493298319357844	0.238575215149573
C2_Plateau_R	poly2	0.539574762423603	0.237532474280208
