ClassFeature	Model	R2	RMS
C0_Basal_L	poly1	0.13022705552607	0.0340715862431713
C0_Basal_L	poly2	0.318686297739573	0.0303583203559992
C0_Basal_L	poly3	0.38927657403002	0.0289388252385661
C0_Basal_L	exp1	0.132736530432612	0.0340223989506911
C0_Basal_L	exp2	0.422742393200682	0.0281347745844444
C0_Basal_R	poly1	0.557789622469484	0.0323933547286121
C0_Basal_R	poly2	0.643742730983172	0.029382924466519
C0_Basal_R	poly3	0.644891757125635	0.0296526520371116
C0_Basal_R	exp1	0.568565383779876	0.0319962407360996
C0_Basal_R	exp2	0.644459237849842	0.0296707048997587
C2_Basal_L	poly1	0.130025964073449	0.018576541133851
C2_Basal_L	poly2	0.131543235496009	0.018943062512955
C2_Basal_L	poly3	0.132543408276502	0.0193393409459236
C2_Basal_L	exp1	0.130116723779218	0.0185755721133325
C2_Basal_L	exp2	0.13257251626131	0.0193390164720708
C2_Basal_R	poly1	0.437542722619279	0.0361509457219583
C2_Basal_R	poly2	0.439860849285061	0.0369253440288013
C2_Basal_R	poly3	0.441483848177562	0.0377823619378916
C2_Basal_R	exp1	0.438258800092554	0.0361279260869955
C2_Basal_R	exp2	0.442425257692156	0.0377505063901354
C2_PeakProm_L	poly1	0.189643061540391	0.169811276622995
C2_PeakProm_L	poly2	0.18992419827112	0.175007092021346
C2_PeakProm_L	poly3	0.207070675884318	0.178823429773465
C2_PeakProm_L	exp1	0.172652062693996	0.1715822836509
C2_PeakProm_L	exp2	0.194426681862477	0.180243543685598
C2_PeakProm_R	poly1	0.888825289871873	0.0547786599123633
C2_PeakProm_R	poly2	0.889141824045568	0.0584774247104903
C2_PeakProm_R	poly3	0.892856744308256	0.0620955085840714
C2_PeakProm_R	exp1	0.85017135578626	0.0635924892947425
C2_PeakProm_R	exp2	0.866572503749724	0.069294766764904
C2_PeakTime_R	poly1	0.0657141493685858	11.3053219488159
C2_PeakTime_R	poly2	0.0693345227641623	12.0624582799391
C2_PeakTime_R	poly3	0.0695160293937012	13.0276734775857
C2_Plateau_L	poly1	0.645081052668663	0.185928599424447
C2_Plateau_L	poly2	0.666503787555436	0.191162772070875
C2_Plateau_R	poly1	0.572110304603843	0.20588340279325
C2_Plateau_R	poly2	0.751958682333967	0.165232770117622
