ClassFeature	Model	R2	RMS
C0_Basal_L	poly1	0.235942827801839	0.0444676287497315
C0_Basal_L	poly2	0.244608172003773	0.0458838155832761
C0_Basal_L	poly3	0.263190309578103	0.0471663318331905
C0_Basal_L	exp1	0.234794249955957	0.0445010394386927
C0_Basal_L	exp2	0.248669761150842	0.0476288254501516
C0_Basal_R	poly1	0.0734378618248767	0.0496062047389842
C0_Basal_R	poly2	0.170298435136135	0.0483027072915906
C0_Basal_R	poly3	0.23229467657507	0.047893024463632
C0_Basal_R	exp1	0.0745720083168839	0.0495758355237905
C0_Basal_R	exp2	0.196832256745475	0.0489866924042136
C2_Basal_L	poly1	0.00012421844200361	0.0412064410554146
C2_Basal_L	poly2	0.0159870474007884	0.0414581308422615
C2_Basal_L	poly3	0.0761009837564804	0.0407583060712291
C2_Basal_L	exp1	0.000125008689994544	0.041206424771735
C2_Basal_L	exp2	0.249417215751409	0.0367369564514443
C2_Basal_R	poly1	0.00541254688888115	0.0586781975555648
C2_Basal_R	poly2	0.0054525175421124	0.0596469522418072
C2_Basal_R	poly3	0.158619676143477	0.055799884578081
C2_Basal_R	exp1	0.00541476811355446	0.0586781320321497
C2_Basal_R	exp2	0.0307882201162573	0.0598889179908041
C2_PeakProm_L	poly1	0.347580813395113	0.119105045562014
C2_PeakProm_L	poly2	0.557549417058428	0.0998840898751091
C2_PeakProm_L	poly3	0.674537777873735	0.0872990327138885
C2_PeakProm_L	exp1	0.681383165023716	0.0832340748970257
C2_PeakProm_L	exp2	0.696439777495634	0.08431048163542
C2_PeakProm_R	poly1	0.530603081233216	0.115828761354157
C2_PeakProm_R	poly2	0.699184657164313	0.0946369357952199
C2_PeakProm_R	poly3	0.699187995217079	0.096671835203151
C2_PeakProm_R	exp1	0.665421802069738	0.0977901503249871
C2_PeakProm_R	exp2	0.665421819550953	0.101953276814386
C2_PeakTime_R	poly1	0.289257719044521	15.6726683209405
C2_PeakTime_R	poly2	0.311695438679861	15.7413354603493
C2_PeakTime_R	poly3	0.314025718913108	16.0526549186958
C2_Plateau_L	poly1	0.160177508200798	0.282747003560065
C2_Plateau_L	poly2	0.409970961661386	0.243866836890236
C2_Plateau_R	poly1	0.150321376338945	0.268746459424961
C2_Plateau_R	poly2	0.255884376594294	0.261768069330739
